variable_name,question_text,source,module_type,toggle_category,historical_toggle_category,ri_threshold_score,keywords,n_keywords,word_count,complexity,Ui,Bi,Ri,selected_for_module,selected,minutes,Pi,augmented_utility,idf_strength,redundancy_penalty,construct_bonus,portability_bonus,construct_count,recommended_wording,keyword_list,tagged_keywords,constructs
GEN_RECEIVE_STIMULUS_PAYMENT_OTHER,Received stimulus payment,COVID-19,Crisis-Specific,Generic,Toggle: Pandemic / Disaster,0.794,"['received stimulus payment', 'stimulus payment']",2,3,0.0,1.4,0.3,4.667,True,True,0.35,6.328,2.173,4.196,0.222,7.989,0.16,1,Did you receive a stimulus payment or other emergency government support?,"['received stimulus payment', 'stimulus payment']","[{'keyword': 'received stimulus payment', 'construct': 'Government Aid', 'weight': 0.7}, {'keyword': 'stimulus payment', 'construct': 'Government Aid', 'weight': 0.7}]",['Government Aid']
SPC_PHYSICALLY_INJURED_WAY_AS,Were you physically injured in any way as a result of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.418,"['any way', 'injured', 'katrina', 'physically injured', 'result', 'rita']",6,13,0.0,3.7,1.3,2.846,True,True,1.517,2.804,4.259,3.394,0.259,2.146,0.02,1,Were you physically injured in any way as a result of the disaster?,"['any way', 'injured', 'katrina', 'physically injured', 'result', 'rita']","[{'keyword': 'injured', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'physically injured', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_SEVERE_DAMAGE_HOME_DURING,How severe was the property damage to your home from Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.402,"['damage', 'home', 'katrina', 'property damage', 'rita', 'severe', 'your home']",7,13,0.0,3.6,1.3,2.769,True,True,1.517,3.169,4.692,3.328,0.214,5.182,0.02,2,How severe was the damage to your home during the disaster?,"['damage', 'home', 'katrina', 'property damage', 'rita', 'severe', 'your home']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'property damage', 'construct': 'Housing / Shelter', 'weight': 0.95}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your home', 'construct': 'Housing / Shelter', 'weight': 0.85}]","['Housing / Shelter', 'Trauma / Health']"
SPC_DISASTER_OFTEN_BEEN_BOTHERED,"Since Katrina and Rita, how often have you been bothered by feeling down depressed or hopeless?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.038,"['depressed', 'feeling down', 'hopeless', 'katrina', 'rita']",5,16,1.0,1.8,1.8,1.0,False,False,1.867,0.832,1.941,3.053,0.454,2.146,0.02,1,"Since the disaster, how often have you been bothered by feeling down depressed or hopeless?","['depressed', 'feeling down', 'hopeless', 'katrina', 'rita']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_AFRAID_DURING_DISASTER_MIGHT,How afraid were you during Katrina or Rita that you might be killed or seriously injured?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.336,"['afraid', 'injured', 'katrina', 'killed', 'rita', 'seriously injured', 'you']",7,16,1.5,4.65,1.9,2.447,True,True,1.867,2.584,5.389,3.431,0.15,2.146,0.02,1,How afraid were you during the disaster that you might be seriously injured or killed?,"['afraid', 'injured', 'katrina', 'killed', 'rita', 'seriously injured', 'you']","[{'keyword': 'injured', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'killed', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'seriously injured', 'construct': 'Trauma / Health', 'weight': 0.95}]",['Trauma / Health']
SPC_WORKING_JOB_CONSIDERED_ESSENTIAL,Working in a job that was considered essential work?,COVID-19,Crisis-Specific,Specific,Generic Core,0.656,"['a job', 'considered essential work', 'essential work', 'job', 'working']",5,9,0.0,3.6,0.9,4.0,True,True,1.05,5.223,5.205,4.078,0.165,7.929,0.08,1,Were you working in a job that was considered essential during the crisis?,"['a job', 'considered essential work', 'essential work', 'job', 'working']","[{'keyword': 'a job', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'considered essential work', 'construct': 'Employment', 'weight': 0.75}, {'keyword': 'essential work', 'construct': 'Employment', 'weight': 0.75}, {'keyword': 'job', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'working', 'construct': 'Employment', 'weight': 0.7}]",['Employment']
SPC_DISASTER_OFTEN_DISTURBING_MEMORIES,"Since Katrina and Rita, have you been bothered by repeated disturbing memories thoughts or images of the hurricane?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.208,"['disturbing memories', 'hurricane', 'images', 'katrina', 'memories', 'repeated', 'rita', 'thoughts']",8,18,1.0,3.65,2.0,1.825,True,True,2.1,1.588,4.23,3.43,0.51,2.146,0.02,1,"Since the disaster, how often have you had disturbing memories or images about what happened?","['disturbing memories', 'hurricane', 'images', 'katrina', 'memories', 'repeated', 'rita', 'thoughts']","[{'keyword': 'disturbing memories', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'hurricane', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_HOUSEHOLD_MANAGE_FINANCIAL_DIFFICULT,How did you/your family manage any financial difficulties due to the shutdown - sell your belongings?,Govt Shutdown Crisis,Crisis-Specific,Specific,Toggle: Financial Crisis,0.598,"['any financial difficulties', 'belongings', 'due', 'family manage', 'financial difficulties', 'sell', 'shutdown', 'the shutdown', 'you', 'your belongings', 'your family']",11,16,0.0,5.95,1.6,3.719,True,True,1.867,4.592,9.343,4.017,0.418,13.006,0.02,2,How did your household manage financial difficulties caused by the shutdown or crisis?,"['any financial difficulties', 'belongings', 'due', 'family manage', 'financial difficulties', 'sell', 'shutdown', 'the shutdown', 'you', 'your belongings', 'your family']","[{'keyword': 'any financial difficulties', 'construct': 'Financial Coping', 'weight': 0.85}, {'keyword': 'belongings', 'construct': 'Financial Coping', 'weight': 0.75}, {'keyword': 'family manage', 'construct': 'Financial Coping', 'weight': 0.7}, {'keyword': 'financial difficulties', 'construct': 'Financial Coping', 'weight': 0.85}, {'keyword': 'sell', 'construct': 'Financial Coping', 'weight': 0.75}, {'keyword': 'shutdown', 'construct': 'Government Aid', 'weight': 0.65}, {'keyword': 'the shutdown', 'construct': 'Government Aid', 'weight': 0.65}, {'keyword': 'your belongings', 'construct': 'Financial Coping', 'weight': 0.75}]","['Financial Coping', 'Government Aid']"
SPC_STOPPED_WORKING_BUSINESS_CRISIS,stopped working at this business?,Govt Shutdown Income,Generic,Specific,Generic Core,0.605,"['business', 'stopped working', 'this business']",3,6,0.0,2.25,0.6,3.75,True,True,0.7,5.177,3.6,4.034,0.244,10.784,0.08,2,Have you stopped working at this business because of the crisis?,"['business', 'stopped working', 'this business']","[{'keyword': 'business', 'construct': 'Economic / Income', 'weight': 0.75}, {'keyword': 'stopped working', 'construct': 'Employment', 'weight': 0.75}, {'keyword': 'this business', 'construct': 'Economic / Income', 'weight': 0.75}]","['Economic / Income', 'Employment']"
SPC_RECEIVE_PAYCHECK_PROTECTION_OTHER,Paycheck protection,COVID-19,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.553,['paycheck protection'],1,2,0.0,0.7,0.2,3.5,True,True,0.233,5.212,1.042,4.277,0.0,7.989,0.08,1,Did you receive paycheck protection or other emergency business support?,['paycheck protection'],"[{'keyword': 'paycheck protection', 'construct': 'Government Aid', 'weight': 0.7}]",['Government Aid']
SPC_RECEIVE_STIMULUS_PAYMENT_OTHER,Stimulus payments,COVID-19,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.553,['stimulus payments'],1,2,0.0,0.7,0.2,3.5,True,True,0.233,4.466,1.022,4.142,0.222,7.989,0.08,1,Did you receive a stimulus payment or other emergency government support?,['stimulus payments'],"[{'keyword': 'stimulus payments', 'construct': 'Government Aid', 'weight': 0.7}]",['Government Aid']
SPC_DISASTER_FELT_NERVOUS_ANXIOUS,"Since Katrina and Rita, have you felt nervous anxious or on edge?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.096,"['anxious', 'edge', 'katrina', 'nervous', 'rita']",5,12,1.0,1.8,1.4,1.286,False,False,1.4,1.287,2.066,3.378,0.225,2.146,0.02,1,"Since the disaster, have you felt nervous anxious or on edge?","['anxious', 'edge', 'katrina', 'nervous', 'rita']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_DISASTER_OFTEN_DISTURBING_DREAMS,"Since Katrina and Rita, have you been bothered by repeated disturbing dreams about the hurricane?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.159,"['disturbing dreams', 'dreams', 'hurricane', 'katrina', 'repeated', 'rita']",6,15,1.0,2.7,1.7,1.588,False,False,1.75,1.316,2.979,3.17,0.51,2.146,0.02,1,"Since the disaster, how often have you had disturbing dreams about what happened?","['disturbing dreams', 'dreams', 'hurricane', 'katrina', 'repeated', 'rita']","[{'keyword': 'hurricane', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_LONG_STAY_TEMPORARY_HOUSING,How long did you stay in temporary housing after Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.338,"['housing', 'katrina', 'long', 'rita', 'temporary housing', 'you']",6,11,0.0,2.7,1.1,2.455,True,True,1.283,3.09,3.614,3.492,0.097,5.182,0.02,2,How long did you stay in temporary housing after the disaster?,"['housing', 'katrina', 'long', 'rita', 'temporary housing', 'you']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'temporary housing', 'construct': 'Housing / Shelter', 'weight': 0.9}]","['Housing / Shelter', 'Trauma / Health']"
SPC_CURRENTLY_LIVING_ADDRESS,"Can I just check, are you normally resident at this address?",Understanding Society,Generic,Specific,Generic Core,0.072,"['address', 'check', 'normally resident', 'this address', 'you']",5,11,0.5,1.4,1.2,1.167,False,False,1.283,1.908,2.289,4.277,0.0,17.553,0.08,1,Are you currently living at this address?,"['address', 'check', 'normally resident', 'this address', 'you']","[{'keyword': 'address', 'construct': 'Demographics', 'weight': 0.45}, {'keyword': 'normally resident', 'construct': 'Demographics', 'weight': 0.5}, {'keyword': 'this address', 'construct': 'Demographics', 'weight': 0.45}]",['Demographics']
SPC_DISASTER_TROUBLE_RELAXING,"Since Katrina and Rita, have you had trouble relaxing?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.141,"['katrina', 'relaxing', 'rita', 'trouble']",4,10,1.0,1.8,1.2,1.5,False,False,1.167,1.4,1.907,2.964,0.208,2.146,0.02,1,"Since the disaster, have you had trouble relaxing?","['katrina', 'relaxing', 'rita', 'trouble']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_DISASTER_FELT_HEART_POUNDING,"Since Katrina and Rita, have you felt your heart pounding or racing?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.079,"['heart pounding', 'katrina', 'pounding', 'racing', 'rita', 'your heart']",6,13,1.0,1.8,1.5,1.2,False,False,1.517,1.201,2.066,3.378,0.225,2.146,0.02,1,"Since the disaster, have you felt your heart pounding or racing?","['heart pounding', 'katrina', 'pounding', 'racing', 'rita', 'your heart']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_DISASTER_BEEN_UNABLE_STOP,"Since Katrina and Rita, have you been unable to stop or control worrying?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.079,"['control', 'katrina', 'rita', 'stop', 'unable', 'worrying']",6,13,1.0,1.8,1.5,1.2,False,False,1.517,1.261,2.1,3.468,0.171,2.146,0.02,1,"Since the disaster, have you been unable to stop or control worrying?","['control', 'katrina', 'rita', 'stop', 'unable', 'worrying']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_EVACUATE_HOME_DISASTER_HIT,Did you evacuate from your home before Katrina or Rita hit?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.497,"['evacuate', 'home', 'katrina', 'rita', 'your home']",5,11,0.0,3.55,1.1,3.227,True,True,1.283,3.53,4.509,3.173,0.248,5.182,0.02,2,Did you evacuate from your home before the disaster hit?,"['evacuate', 'home', 'katrina', 'rita', 'your home']","[{'keyword': 'evacuate', 'construct': 'Housing / Shelter', 'weight': 0.9}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your home', 'construct': 'Housing / Shelter', 'weight': 0.85}]","['Housing / Shelter', 'Trauma / Health']"
SPC_DISASTER_CAUSE_LOSE_JOB,Did you lose your job because of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.491,"['job', 'katrina', 'lose', 'rita', 'your job']",5,10,0.0,3.2,1.0,3.2,True,True,1.167,3.708,3.989,3.066,0.117,5.117,0.02,2,Did the disaster cause you to lose your job?,"['job', 'katrina', 'lose', 'rita', 'your job']","[{'keyword': 'job', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your job', 'construct': 'Employment', 'weight': 0.7}]","['Employment', 'Trauma / Health']"
SPC_LAID_OFF_FURLOUGHED_PANDEMIC,Laid off or furloughed because of the pandemic,COVID-19,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.309,"['furloughed', 'laid', 'pandemic', 'the pandemic']",4,8,1.5,2.55,1.1,2.318,True,True,0.933,3.106,3.794,4.196,0.17,5.117,0.02,2,Were you laid off or furloughed because of the pandemic?,"['furloughed', 'laid', 'pandemic', 'the pandemic']","[{'keyword': 'furloughed', 'construct': 'Employment', 'weight': 0.75}, {'keyword': 'pandemic', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'the pandemic', 'construct': 'Trauma / Health', 'weight': 0.9}]","['Employment', 'Trauma / Health']"
SPC_DISPLACED_PLACE_LIVING_DISASTER,Were you displaced from the place you were living because of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.268,"['displaced', 'katrina', 'place', 'rita', 'the place', 'you']",6,13,0.0,2.75,1.3,2.115,True,True,1.517,2.643,3.587,3.333,0.068,5.182,0.02,2,Were you displaced from the place you were living because of the disaster?,"['displaced', 'katrina', 'place', 'rita', 'the place', 'you']","[{'keyword': 'displaced', 'construct': 'Housing / Shelter', 'weight': 0.95}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]","['Housing / Shelter', 'Trauma / Health']"
SPC_DISASTER_OFTEN_BEEN_BOTHERED_2,"Since Katrina and Rita, how often have you been bothered by little interest or pleasure in doing things?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.017,"['doing things', 'interest', 'katrina', 'little interest', 'pleasure', 'rita', 'things']",7,18,1.0,1.8,2.0,0.9,False,False,2.1,0.877,2.022,3.263,0.236,2.146,0.02,1,"Since the disaster, how often have you been bothered by little interest or pleasure in doing things?","['doing things', 'interest', 'katrina', 'little interest', 'pleasure', 'rita', 'things']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_RECEIVE_EMERGENCY_FINANCIAL_ASSISTAN,How much financial help did you receive from FEMA?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.175,"['fema', 'financial help', 'help', 'much', 'receive']",5,9,0.0,1.5,0.9,1.667,False,False,1.05,2.057,2.265,3.735,0.343,13.006,0.02,2,Did you receive emergency financial assistance because of the disaster?,"['fema', 'financial help', 'help', 'much', 'receive']","[{'keyword': 'fema', 'construct': 'Government Aid', 'weight': 0.7}, {'keyword': 'financial help', 'construct': 'Financial Coping', 'weight': 0.8}]","['Financial Coping', 'Government Aid']"
SPC_DISASTER_OFTEN_BEEN_BOTHERED_3,"Since Katrina and Rita, how often have you been bothered by poor appetite or overeating?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.05,"['appetite', 'katrina', 'overeating', 'poor appetite', 'rita']",5,15,1.0,1.8,1.7,1.059,False,False,1.75,0.679,1.904,2.958,1.0,2.146,0.02,1,"Since the disaster, how often have you been bothered by poor appetite or overeating?","['appetite', 'katrina', 'overeating', 'poor appetite', 'rita']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_DISASTER_FELT_EMOTIONALLY_DISTANT,"Since Katrina and Rita, have you felt emotionally distant or cut off from other people?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.05,"['cut off', 'distant', 'emotionally distant', 'katrina', 'other people', 'rita']",6,15,1.0,1.8,1.7,1.059,False,False,1.75,1.103,2.119,3.517,0.201,2.146,0.02,1,"Since the disaster, have you felt emotionally distant or cut off from other people?","['cut off', 'distant', 'emotionally distant', 'katrina', 'other people', 'rita']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_DISASTER_OFTEN_BEEN_BOTHERED_4,"Since Katrina and Rita, how often have you been bothered by poor appetite or overeating?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.05,"['appetite', 'katrina', 'overeating', 'poor appetite', 'rita']",5,15,1.0,1.8,1.7,1.059,False,False,1.75,0.679,1.904,2.958,1.0,2.146,0.02,1,"Since the disaster, how often have you been bothered by poor appetite or overeating?","['appetite', 'katrina', 'overeating', 'poor appetite', 'rita']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_DISASTER_OFTEN_BEEN_BOTHERED_5,"Since Katrina and Rita, how often have you been bothered by feeling bad about yourself?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.05,"['bad', 'feeling bad', 'katrina', 'rita', 'yourself']",5,15,1.0,1.8,1.7,1.059,False,False,1.75,0.834,1.836,2.781,0.454,2.146,0.02,1,"Since the disaster, how often have you been bothered by feeling bad about yourself?","['bad', 'feeling bad', 'katrina', 'rita', 'yourself']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
